"","lan","lon","RMSE","Variable","Methods"
"43",37.795,-122.281,1.64,"PRES","PLSClust"
"83",38.056,-122.039,1.69,"PRES","PLSClust"
"93",37.906,-122.365,1.64,"PRES","PLSClust"
"103",38.04,-121.887,1.77,"PRES","PLSClust"
"133",37.923,-122.41,1.66,"PRES","PLSClust"
"143",37.507,-122.212,1.69,"PRES","PLSClust"
"18",37.772,-122.3,0.93,"WSPD","PCAClust"
"24",38.056,-122.264,1.49,"WSPD","PCAClust"
"34",37.806,-122.466,1.3,"WSPD","PCAClust"
"44",37.795,-122.281,0.84,"WSPD","PCAClust"
"72",37.801,-122.33,1.29,"WSPD","PCAClust"
"84",38.056,-122.039,1.56,"WSPD","PCAClust"
"94",37.906,-122.365,1.73,"WSPD","PCAClust"
"104",38.04,-121.887,1.54,"WSPD","PCAClust"
"134",37.923,-122.41,1.25,"WSPD","PCAClust"
"144",37.507,-122.212,1.16,"WSPD","PCAClust"
"151",37.772,-122.3,1.11,"GST","PCAClust"
"211",38.056,-122.264,1.81,"GST","PCAClust"
"311",37.806,-122.466,1.64,"GST","PCAClust"
"411",37.795,-122.281,1.09,"GST","PCAClust"
"711",37.801,-122.33,1.42,"GST","PCAClust"
"811",38.056,-122.039,1.71,"GST","PCAClust"
"911",37.906,-122.365,2.05,"GST","PCAClust"
"1011",38.04,-121.887,1.92,"GST","PCAClust"
"1311",37.923,-122.41,1.4,"GST","PCAClust"
"1411",37.507,-122.212,1.52,"GST","PCAClust"
"161",37.772,-122.3,0.95,"ATMP","PCAClust"
"221",38.056,-122.264,1.12,"ATMP","PCAClust"
"321",37.806,-122.466,1.07,"ATMP","PCAClust"
"421",37.795,-122.281,0.91,"ATMP","PCAClust"
"51",37.804,-122.341,0.89,"ATMP","PCAClust"
"821",38.056,-122.039,1.47,"ATMP","PCAClust"
"921",37.906,-122.365,1,"ATMP","PCAClust"
"1021",38.04,-121.887,1.93,"ATMP","PCAClust"
"111",37.798,-122.393,0.87,"ATMP","PCAClust"
"121",37.803,-122.397,0.92,"ATMP","PCAClust"
"1321",37.923,-122.41,0.93,"ATMP","PCAClust"
"1421",37.507,-122.212,1.33,"ATMP","PCAClust"
"171",37.772,-122.3,1.53,"PRES","PCAClust"
"231",38.056,-122.264,1.49,"PRES","PCAClust"
"331",37.806,-122.466,1.54,"PRES","PCAClust"
"431",37.795,-122.281,1.51,"PRES","PCAClust"
"831",38.056,-122.039,1.55,"PRES","PCAClust"
"931",37.906,-122.365,1.59,"PRES","PCAClust"
"1031",38.04,-121.887,1.65,"PRES","PCAClust"
"1331",37.923,-122.41,1.53,"PRES","PCAClust"
"1431",37.507,-122.212,1.66,"PRES","PCAClust"
"19",37.772,-122.3,0.89,"WSPD","PLSClust*"
"25",38.056,-122.264,1.4,"WSPD","PLSClust*"
"35",37.806,-122.466,1.21,"WSPD","PLSClust*"
"45",37.795,-122.281,0.84,"WSPD","PLSClust*"
"73",37.801,-122.33,1.22,"WSPD","PLSClust*"
"85",38.056,-122.039,1.51,"WSPD","PLSClust*"
"95",37.906,-122.365,1.66,"WSPD","PLSClust*"
"105",38.04,-121.887,1.46,"WSPD","PLSClust*"
"135",37.923,-122.41,1.14,"WSPD","PLSClust*"
"145",37.507,-122.212,1,"WSPD","PLSClust*"
"152",37.772,-122.3,1.07,"GST","PLSClust*"
"212",38.056,-122.264,1.66,"GST","PLSClust*"
"312",37.806,-122.466,1.44,"GST","PLSClust*"
"412",37.795,-122.281,1.05,"GST","PLSClust*"
"712",37.801,-122.33,1.34,"GST","PLSClust*"
"812",38.056,-122.039,1.61,"GST","PLSClust*"
"912",37.906,-122.365,1.92,"GST","PLSClust*"
"1012",38.04,-121.887,1.82,"GST","PLSClust*"
"1312",37.923,-122.41,1.32,"GST","PLSClust*"
"1412",37.507,-122.212,1.24,"GST","PLSClust*"
"162",37.772,-122.3,0.85,"ATMP","PLSClust*"
"222",38.056,-122.264,1.01,"ATMP","PLSClust*"
"322",37.806,-122.466,1.03,"ATMP","PLSClust*"
"422",37.795,-122.281,0.86,"ATMP","PLSClust*"
"52",37.804,-122.341,0.8,"ATMP","PLSClust*"
"822",38.056,-122.039,1.39,"ATMP","PLSClust*"
"922",37.906,-122.365,0.93,"ATMP","PLSClust*"
"1022",38.04,-121.887,1.92,"ATMP","PLSClust*"
"112",37.798,-122.393,0.81,"ATMP","PLSClust*"
"122",37.803,-122.397,0.82,"ATMP","PLSClust*"
"1322",37.923,-122.41,0.86,"ATMP","PLSClust*"
"1422",37.507,-122.212,1.29,"ATMP","PLSClust*"
"172",37.772,-122.3,1.45,"PRES","PLSClust*"
"232",38.056,-122.264,1.45,"PRES","PLSClust*"
"332",37.806,-122.466,1.49,"PRES","PLSClust*"
"432",37.795,-122.281,1.46,"PRES","PLSClust*"
"832",38.056,-122.039,1.48,"PRES","PLSClust*"
"932",37.906,-122.365,1.45,"PRES","PLSClust*"
"1032",38.04,-121.887,1.57,"PRES","PLSClust*"
"1332",37.923,-122.41,1.44,"PRES","PLSClust*"
"1432",37.507,-122.212,1.52,"PRES","PLSClust*"
