"","lan","lon","RMSE","Variable","Methods","Training"
"1033",38.04,-121.887,0.92,"PRES","PCClust","One variable"
"133",37.923,-122.41,0.39,"PRES","PCClust","One variable"
"143",37.507,-122.212,0.75,"PRES","PCClust","One variable"
"181",37.772,-122.3,0.88,"WSPD","PLSClust","One variable"
"241",38.056,-122.264,1.47,"WSPD","PLSClust","One variable"
"341",37.806,-122.466,1.29,"WSPD","PLSClust","One variable"
"441",37.795,-122.281,0.82,"WSPD","PLSClust","One variable"
"721",37.801,-122.33,1.24,"WSPD","PLSClust","One variable"
"841",38.056,-122.039,1.66,"WSPD","PLSClust","One variable"
"941",37.906,-122.365,1.76,"WSPD","PLSClust","One variable"
"1041",38.04,-121.887,1.59,"WSPD","PLSClust","One variable"
"134",37.923,-122.41,1.21,"WSPD","PLSClust","One variable"
"144",37.507,-122.212,1.15,"WSPD","PLSClust","One variable"
"151",37.772,-122.3,1.06,"GST","PLSClust","One variable"
"211",38.056,-122.264,1.73,"GST","PLSClust","One variable"
"311",37.806,-122.466,1.6,"GST","PLSClust","One variable"
"411",37.795,-122.281,1.01,"GST","PLSClust","One variable"
"711",37.801,-122.33,1.39,"GST","PLSClust","One variable"
"811",38.056,-122.039,1.82,"GST","PLSClust","One variable"
"911",37.906,-122.365,2.03,"GST","PLSClust","One variable"
"1011",38.04,-121.887,1.93,"GST","PLSClust","One variable"
"1311",37.923,-122.41,1.41,"GST","PLSClust","One variable"
"1411",37.507,-122.212,1.35,"GST","PLSClust","One variable"
"161",37.772,-122.3,0.48,"ATMP","PLSClust","One variable"
"221",38.056,-122.264,0.73,"ATMP","PLSClust","One variable"
"321",37.806,-122.466,0.72,"ATMP","PLSClust","One variable"
"421",37.795,-122.281,0.47,"ATMP","PLSClust","One variable"
"511",37.804,-122.341,0.41,"ATMP","PLSClust","One variable"
"821",38.056,-122.039,0.95,"ATMP","PLSClust","One variable"
"921",37.906,-122.365,0.57,"ATMP","PLSClust","One variable"
"1021",38.04,-121.887,1.39,"ATMP","PLSClust","One variable"
"1111",37.798,-122.393,0.4,"ATMP","PLSClust","One variable"
"1211",37.803,-122.397,0.4,"ATMP","PLSClust","One variable"
"1321",37.923,-122.41,0.53,"ATMP","PLSClust","One variable"
"1421",37.507,-122.212,1.08,"ATMP","PLSClust","One variable"
"171",37.772,-122.3,0.4,"PRES","PLSClust","One variable"
"231",38.056,-122.264,0.4,"PRES","PLSClust","One variable"
"331",37.806,-122.466,0.49,"PRES","PLSClust","One variable"
"431",37.795,-122.281,0.36,"PRES","PLSClust","One variable"
"831",38.056,-122.039,0.61,"PRES","PLSClust","One variable"
"931",37.906,-122.365,0.31,"PRES","PLSClust","One variable"
"1031",38.04,-121.887,0.92,"PRES","PLSClust","One variable"
"1331",37.923,-122.41,0.39,"PRES","PLSClust","One variable"
"1431",37.507,-122.212,0.73,"PRES","PLSClust","One variable"
"191",37.772,-122.3,0.86,"WSPD","PLSR","One variable"
"251",38.056,-122.264,1.48,"WSPD","PLSR","One variable"
"351",37.806,-122.466,1.34,"WSPD","PLSR","One variable"
"451",37.795,-122.281,0.79,"WSPD","PLSR","One variable"
"731",37.801,-122.33,1.26,"WSPD","PLSR","One variable"
"851",38.056,-122.039,1.76,"WSPD","PLSR","One variable"
"951",37.906,-122.365,1.85,"WSPD","PLSR","One variable"
"1051",38.04,-121.887,1.57,"WSPD","PLSR","One variable"
"135",37.923,-122.41,1.26,"WSPD","PLSR","One variable"
"145",37.507,-122.212,1.17,"WSPD","PLSR","One variable"
"152",37.772,-122.3,1,"GST","PLSR","One variable"
"212",38.056,-122.264,1.73,"GST","PLSR","One variable"
"312",37.806,-122.466,1.65,"GST","PLSR","One variable"
"412",37.795,-122.281,0.94,"GST","PLSR","One variable"
"712",37.801,-122.33,1.34,"GST","PLSR","One variable"
"812",38.056,-122.039,1.86,"GST","PLSR","One variable"
"912",37.906,-122.365,2.07,"GST","PLSR","One variable"
"1012",38.04,-121.887,1.96,"GST","PLSR","One variable"
"1312",37.923,-122.41,1.46,"GST","PLSR","One variable"
"1412",37.507,-122.212,1.41,"GST","PLSR","One variable"
"162",37.772,-122.3,0.34,"ATMP","PLSR","One variable"
"222",38.056,-122.264,0.63,"ATMP","PLSR","One variable"
"322",37.806,-122.466,0.61,"ATMP","PLSR","One variable"
"422",37.795,-122.281,0.36,"ATMP","PLSR","One variable"
"521",37.804,-122.341,0.35,"ATMP","PLSR","One variable"
"822",38.056,-122.039,0.8,"ATMP","PLSR","One variable"
"922",37.906,-122.365,0.53,"ATMP","PLSR","One variable"
"1022",38.04,-121.887,1.2,"ATMP","PLSR","One variable"
"1121",37.798,-122.393,0.24,"ATMP","PLSR","One variable"
"1221",37.803,-122.397,0.23,"ATMP","PLSR","One variable"
"1322",37.923,-122.41,0.45,"ATMP","PLSR","One variable"
"1422",37.507,-122.212,0.91,"ATMP","PLSR","One variable"
"172",37.772,-122.3,0.15,"PRES","PLSR","One variable"
"232",38.056,-122.264,0.18,"PRES","PLSR","One variable"
"332",37.806,-122.466,0.4,"PRES","PLSR","One variable"
"432",37.795,-122.281,0.1,"PRES","PLSR","One variable"
"832",38.056,-122.039,0.26,"PRES","PLSR","One variable"
"932",37.906,-122.365,0.13,"PRES","PLSR","One variable"
"1032",38.04,-121.887,0.37,"PRES","PLSR","One variable"
"1332",37.923,-122.41,0.31,"PRES","PLSR","One variable"
"1432",37.507,-122.212,0.56,"PRES","PLSR","One variable"
